lon,lat,PGA-0.0137,PGA-0.0098,PGA-0.0021,PGA-0.001,PGA-0.0003,PGA-0.0001,SA(0.3)-0.0137,SA(0.3)-0.0098,SA(0.3)-0.0021,SA(0.3)-0.001,SA(0.3)-0.0003,SA(0.3)-0.0001,SA(0.6)-0.0137,SA(0.6)-0.0098,SA(0.6)-0.0021,SA(0.6)-0.001,SA(0.6)-0.0003,SA(0.6)-0.0001,SA(1.0)-0.0137,SA(1.0)-0.0098,SA(1.0)-0.0021,SA(1.0)-0.001,SA(1.0)-0.0003,SA(1.0)-0.0001,SA(1.5)-0.0137,SA(1.5)-0.0098,SA(1.5)-0.0021,SA(1.5)-0.001,SA(1.5)-0.0003,SA(1.5)-0.0001
21.69405,40.67211,0.098,0.125,0.292,0.42,0.65,0.872,0.19,0.24,0.58,0.86,1.37,1.82,0.1,0.13,0.3,0.47,0.74,0.99,0.06,0.07,0.16,0.25,0.39,0.53,0.04,0.04,0.1,0.15,0.23,0.31
21.69405,40.62211,0.102,0.13,0.307,0.462,0.674,0.89,0.2,0.25,0.6,0.89,1.43,1.87,0.11,0.13,0.31,0.48,0.77,1.02,0.06,0.07,0.17,0.26,0.4,0.55,0.04,0.05,0.1,0.15,0.23,0.32
21.69405,40.57211,0.107,0.135,0.31,0.431,0.642,0.814,0.21,0.26,0.6,0.85,1.3,1.74,0.12,0.14,0.33,0.48,0.75,1.01,0.07,0.08,0.18,0.26,0.4,0.54,0.04,0.05,0.11,0.16,0.24,0.32
21.69405,40.52211,0.12,0.15,0.351,0.508,0.751,0.929,0.24,0.3,0.68,0.95,1.46,1.92,0.14,0.17,0.39,0.54,0.84,1.14,0.08,0.1,0.21,0.3,0.45,0.61,0.05,0.06,0.13,0.18,0.28,0.37
21.69405,40.47211,0.108,0.133,0.308,0.421,0.604,0.78,0.21,0.26,0.59,0.81,1.17,1.52,0.12,0.14,0.32,0.44,0.65,0.85,0.06,0.08,0.17,0.24,0.35,0.46,0.04,0.05,0.1,0.14,0.22,0.28
21.69405,40.42211,0.095,0.118,0.279,0.401,0.592,0.749,0.18,0.22,0.51,0.7,1.06,1.39,0.09,0.11,0.25,0.35,0.51,0.68,0.05,0.06,0.13,0.18,0.27,0.35,0.03,0.04,0.08,0.11,0.16,0.21
21.69405,40.37211,0.11,0.135,0.301,0.415,0.596,0.758,0.21,0.26,0.57,0.79,1.14,1.46,0.11,0.14,0.3,0.43,0.62,0.8,0.06,0.08,0.16,0.23,0.33,0.43,0.04,0.05,0.1,0.14,0.2,0.26
21.69405,40.32211,0.099,0.123,0.297,0.411,0.563,0.695,0.18,0.23,0.53,0.76,1.1,1.36,0.09,0.11,0.25,0.36,0.55,0.7,0.05,0.06,0.13,0.19,0.28,0.37,0.03,0.04,0.08,0.11,0.17,0.22
21.69405,40.27211,0.107,0.131,0.298,0.414,0.579,0.721,0.2,0.25,0.55,0.78,1.13,1.43,0.1,0.12,0.28,0.4,0.59,0.76,0.06,0.07,0.15,0.21,0.31,0.4,0.04,0.04,0.09,0.13,0.18,0.24
21.69405,40.22211,0.112,0.14,0.341,0.447,0.604,0.744,0.21,0.26,0.62,0.86,1.19,1.48,0.11,0.13,0.31,0.45,0.65,0.8,0.06,0.07,0.16,0.24,0.35,0.44,0.04,0.04,0.1,0.14,0.2,0.27
21.69405,40.17211,0.099,0.121,0.285,0.387,0.528,0.648,0.18,0.22,0.52,0.74,1.02,1.26,0.09,0.11,0.25,0.36,0.51,0.65,0.05,0.06,0.13,0.18,0.27,0.35,0.03,0.03,0.08,0.11,0.16,0.21
21.69405,40.12211,0.121,0.152,0.358,0.472,0.639,0.813,0.23,0.28,0.69,0.92,1.35,1.8,0.12,0.15,0.36,0.51,0.76,1.02,0.07,0.08,0.19,0.27,0.41,0.55,0.04,0.05,0.11,0.17,0.25,0.33
21.69405,40.07211,0.116,0.143,0.343,0.458,0.622,0.765,0.22,0.27,0.63,0.88,1.26,1.64,0.11,0.14,0.32,0.47,0.71,0.96,0.06,0.08,0.17,0.25,0.38,0.52,0.04,0.05,0.11,0.15,0.23,0.31
21.69405,40.02211,0.111,0.139,0.334,0.438,0.593,0.741,0.21,0.25,0.62,0.85,1.2,1.61,0.11,0.13,0.31,0.45,0.66,0.89,0.06,0.07,0.16,0.24,0.36,0.48,0.04,0.05,0.1,0.14,0.21,0.28
21.69405,39.97211,0.111,0.136,0.319,0.441,0.61,0.757,0.21,0.26,0.59,0.84,1.2,1.51,0.12,0.14,0.31,0.45,0.66,0.85,0.07,0.08,0.17,0.24,0.36,0.46,0.04,0.05,0.1,0.15,0.21,0.28
21.69405,39.92211,0.111,0.136,0.328,0.433,0.585,0.721,0.22,0.26,0.61,0.85,1.19,1.48,0.12,0.15,0.33,0.47,0.68,0.87,0.07,0.08,0.18,0.25,0.37,0.48,0.05,0.05,0.11,0.15,0.22,0.29
21.69405,39.87211,0.1,0.122,0.272,0.38,0.534,0.656,0.19,0.23,0.51,0.72,1.05,1.34,0.11,0.13,0.28,0.39,0.57,0.73,0.06,0.08,0.15,0.21,0.31,0.39,0.04,0.05,0.1,0.13,0.19,0.24
21.69405,39.82211,0.096,0.117,0.269,0.391,0.574,0.726,0.19,0.23,0.51,0.72,1.08,1.44,0.11,0.13,0.28,0.39,0.57,0.77,0.06,0.08,0.16,0.21,0.31,0.41,0.04,0.05,0.1,0.13,0.19,0.25
21.69405,39.77211,0.083,0.1,0.22,0.31,0.449,0.573,0.16,0.2,0.42,0.58,0.85,1.11,0.09,0.11,0.22,0.31,0.45,0.59,0.05,0.06,0.13,0.17,0.25,0.32,0.04,0.04,0.08,0.11,0.16,0.2
21.69405,39.72211,0.085,0.102,0.227,0.327,0.491,0.648,0.17,0.2,0.44,0.61,0.91,1.21,0.1,0.12,0.24,0.34,0.49,0.64,0.06,0.07,0.14,0.19,0.27,0.35,0.04,0.05,0.09,0.12,0.17,0.22
21.74405,41.62211,0.062,0.075,0.178,0.259,0.403,0.55,0.12,0.15,0.35,0.5,0.75,1.01,0.07,0.09,0.18,0.26,0.39,0.52,0.04,0.05,0.1,0.14,0.2,0.27,0.03,0.03,0.06,0.08,0.12,0.16
21.74405,41.57211,0.062,0.075,0.17,0.242,0.362,0.486,0.12,0.15,0.33,0.47,0.7,0.92,0.07,0.09,0.18,0.26,0.38,0.5,0.04,0.05,0.1,0.14,0.21,0.27,0.03,0.03,0.06,0.09,0.12,0.16
21.74405,41.52211,0.059,0.072,0.164,0.239,0.377,0.521,0.12,0.14,0.32,0.45,0.69,0.94,0.07,0.08,0.17,0.24,0.36,0.48,0.04,0.05,0.1,0.13,0.19,0.25,0.03,0.03,0.06,0.08,0.12,0.15
21.74405,41.47211,0.057,0.069,0.154,0.22,0.334,0.446,0.11,0.14,0.3,0.42,0.63,0.84,0.06,0.08,0.16,0.22,0.33,0.43,0.04,0.04,0.09,0.12,0.18,0.23,0.02,0.03,0.06,0.08,0.11,0.14
21.74405,41.42211,0.057,0.069,0.156,0.228,0.363,0.503,0.11,0.14,0.3,0.43,0.66,0.9,0.06,0.08,0.16,0.22,0.33,0.45,0.04,0.04,0.09,0.12,0.18,0.23,0.02,0.03,0.06,0.08,0.11,0.14
21.74405,41.37211,0.066,0.08,0.176,0.252,0.382,0.511,0.14,0.16,0.35,0.49,0.74,0.99,0.08,0.1,0.2,0.28,0.41,0.54,0.05,0.06,0.11,0.15,0.22,0.29,0.03,0.04,0.07,0.1,0.14,0.18
21.74405,41.32211,0.056,0.067,0.152,0.222,0.352,0.477,0.11,0.13,0.29,0.41,0.63,0.85,0.06,0.07,0.15,0.2,0.3,0.41,0.03,0.04,0.08,0.11,0.16,0.21,0.02,0.02,0.05,0.07,0.1,0.13
21.74405,41.27211,0.064,0.077,0.17,0.242,0.365,0.487,0.13,0.15,0.33,0.47,0.7,0.93,0.07,0.09,0.18,0.25,0.37,0.49,0.04,0.05,0.1,0.14,0.2,0.26,0.03,0.03,0.06,0.09,0.12,0.16
21.74405,41.22211,0.064,0.077,0.175,0.254,0.39,0.526,0.13,0.15,0.34,0.48,0.72,0.97,0.07,0.08,0.18,0.25,0.36,0.49,0.04,0.05,0.1,0.13,0.19,0.26,0.03,0.03,0.06,0.08,0.12,0.15
21.74405,41.17211,0.069,0.083,0.185,0.261,0.388,0.512,0.14,0.17,0.36,0.51,0.75,0.98,0.08,0.09,0.2,0.27,0.4,0.52,0.04,0.05,0.11,0.15,0.21,0.28,0.03,0.03,0.07,0.09,0.13,0.17
21.74405,41.12211,0.07,0.086,0.196,0.28,0.421,0.565,0.14,0.17,0.38,0.53,0.79,1.04,0.08,0.09,0.2,0.28,0.41,0.54,0.04,0.05,0.11,0.15,0.22,0.28,0.03,0.03,0.07,0.09,0.13,0.17
21.74405,41.07211,0.082,0.1,0.224,0.313,0.455,0.584,0.17,0.2,0.44,0.62,0.89,1.15,0.1,0.12,0.25,0.35,0.5,0.65,0.06,0.07,0.14,0.19,0.27,0.35,0.04,0.04,0.09,0.12,0.17,0.22
21.74405,41.02211,0.069,0.084,0.196,0.275,0.406,0.538,0.13,0.16,0.37,0.52,0.76,0.99,0.07,0.08,0.19,0.26,0.37,0.49,0.04,0.05,0.1,0.13,0.19,0.25,0.02,0.03,0.06,0.08,0.12,0.15
21.74405,40.97211,0.069,0.085,0.196,0.273,0.388,0.494,0.13,0.16,0.38,0.52,0.74,0.94,0.07,0.08,0.18,0.25,0.36,0.47,0.04,0.05,0.1,0.13,0.19,0.24,0.02,0.03,0.06,0.08,0.11,0.14
21.74405,40.92211,0.072,0.089,0.22,0.306,0.441,0.572,0.14,0.17,0.41,0.57,0.82,1.07,0.07,0.09,0.19,0.27,0.4,0.52,0.04,0.05,0.1,0.14,0.21,0.27,0.02,0.03,0.06,0.08,0.12,0.16
21.74405,40.87211,0.075,0.093,0.234,0.321,0.458,0.585,0.14,0.18,0.43,0.6,0.88,1.15,0.07,0.09,0.2,0.3,0.45,0.6,0.04,0.05,0.11,0.15,0.23,0.31,0.02,0.03,0.06,0.09,0.14,0.18
21.74405,40.82211,0.078,0.099,0.247,0.34,0.535,0.681,0.15,0.19,0.46,0.66,1.05,1.41,0.08,0.09,0.22,0.33,0.53,0.71,0.04,0.05,0.12,0.18,0.28,0.36,0.03,0.03,0.07,0.1,0.16,0.21
21.74405,40.77211,0.093,0.117,0.289,0.405,0.61,0.806,0.18,0.23,0.56,0.83,1.3,1.74,0.1,0.13,0.3,0.46,0.73,0.97,0.06,0.07,0.16,0.25,0.38,0.52,0.04,0.04,0.1,0.15,0.22,0.3
21.74405,40.72211,0.092,0.117,0.286,0.421,0.664,0.886,0.18,0.23,0.56,0.85,1.35,1.8,0.1,0.12,0.29,0.45,0.72,0.97,0.06,0.07,0.16,0.25,0.38,0.52,0.03,0.04,0.09,0.14,0.22,0.3
21.74405,40.67211,0.089,0.112,0.273,0.393,0.629,0.838,0.17,0.22,0.53,0.81,1.27,1.72,0.09,0.11,0.27,0.44,0.68,0.92,0.05,0.06,0.14,0.23,0.36,0.49,0.03,0.04,0.09,0.13,0.21,0.29
21.74405,40.62211,0.103,0.131,0.32,0.47,0.711,0.945,0.2,0.26,0.63,0.94,1.53,2.01,0.12,0.14,0.35,0.54,0.86,1.14,0.07,0.08,0.19,0.29,0.45,0.62,0.04,0.05,0.11,0.17,0.27,0.36
21.74405,40.57211,0.11,0.138,0.333,0.451,0.676,0.865,0.22,0.27,0.65,0.91,1.41,1.91,0.13,0.16,0.37,0.54,0.86,1.14,0.07,0.09,0.2,0.3,0.47,0.62,0.05,0.06,0.12,0.18,0.28,0.37
21.74405,40.52211,0.104,0.13,0.313,0.437,0.663,0.841,0.2,0.25,0.6,0.83,1.24,1.7,0.12,0.14,0.32,0.46,0.69,0.96,0.07,0.08,0.17,0.25,0.37,0.51,0.04,0.05,0.11,0.15,0.22,0.3
21.74405,40.47211,0.107,0.132,0.316,0.434,0.611,0.775,0.21,0.26,0.6,0.84,1.2,1.54,0.12,0.15,0.33,0.47,0.68,0.89,0.07,0.08,0.18,0.25,0.37,0.49,0.04,0.05,0.11,0.15,0.23,0.3
21.74405,40.42211,0.093,0.115,0.276,0.389,0.569,0.748,0.18,0.22,0.51,0.71,1.02,1.33,0.09,0.11,0.25,0.35,0.51,0.67,0.05,0.06,0.13,0.18,0.27,0.35,0.03,0.04,0.08,0.11,0.16,0.2
21.74405,40.37211,0.095,0.117,0.266,0.365,0.516,0.655,0.18,0.22,0.5,0.69,0.98,1.24,0.09,0.11,0.25,0.35,0.5,0.65,0.05,0.06,0.13,0.18,0.27,0.34,0.03,0.04,0.08,0.11,0.16,0.21
21.74405,40.32211,0.11,0.137,0.324,0.469,0.654,0.807,0.21,0.26,0.59,0.85,1.25,1.6,0.11,0.14,0.31,0.44,0.67,0.89,0.06,0.08,0.17,0.24,0.35,0.47,0.04,0.05,0.1,0.14,0.21,0.28
21.74405,40.27211,0.118,0.146,0.33,0.461,0.656,0.816,0.23,0.28,0.63,0.89,1.29,1.65,0.13,0.15,0.34,0.49,0.73,0.94,0.07,0.08,0.19,0.27,0.4,0.52,0.04,0.05,0.11,0.16,0.24,0.31
21.74405,40.22211,0.112,0.138,0.343,0.456,0.621,0.766,0.21,0.26,0.62,0.86,1.21,1.51,0.11,0.13,0.31,0.45,0.66,0.83,0.06,0.07,0.16,0.24,0.36,0.45,0.04,0.04,0.1,0.14,0.21,0.27
21.74405,40.17211,0.1,0.123,0.293,0.402,0.551,0.68,0.18,0.23,0.53,0.76,1.07,1.35,0.09,0.11,0.26,0.38,0.56,0.74,0.05,0.06,0.13,0.2,0.3,0.39,0.03,0.04,0.08,0.12,0.18,0.24
21.74405,40.12211,0.108,0.135,0.328,0.434,0.594,0.751,0.2,0.25,0.6,0.84,1.23,1.67,0.1,0.12,0.3,0.44,0.67,0.89,0.06,0.07,0.16,0.23,0.36,0.48,0.04,0.04,0.09,0.14,0.21,0.28
21.74405,40.07211,0.109,0.133,0.32,0.437,0.6,0.742,0.2,0.25,0.59,0.83,1.19,1.58,0.1,0.13,0.29,0.44,0.65,0.89,0.06,0.07,0.16,0.23,0.35,0.48,0.04,0.04,0.1,0.14,0.21,0.28
21.74405,40.02211,0.098,0.121,0.295,0.396,0.539,0.666,0.18,0.22,0.53,0.76,1.04,1.35,0.09,0.11,0.25,0.37,0.54,0.71,0.05,0.06,0.13,0.19,0.29,0.38,0.03,0.04,0.08,0.11,0.17,0.23
21.74405,39.97211,0.098,0.12,0.274,0.386,0.551,0.697,0.18,0.22,0.51,0.72,1.06,1.34,0.09,0.11,0.25,0.36,0.54,0.7,0.05,0.06,0.13,0.19,0.28,0.37,0.03,0.04,0.08,0.11,0.17,0.22
21.74405,39.92211,0.091,0.111,0.267,0.369,0.501,0.611,0.17,0.21,0.48,0.69,0.97,1.22,0.09,0.11,0.23,0.33,0.49,0.64,0.05,0.06,0.12,0.17,0.26,0.34,0.03,0.04,0.08,0.11,0.15,0.2
21.74405,39.87211,0.1,0.122,0.269,0.378,0.541,0.683,0.2,0.24,0.52,0.72,1.05,1.35,0.11,0.13,0.29,0.4,0.58,0.75,0.07,0.08,0.16,0.22,0.32,0.41,0.04,0.05,0.1,0.14,0.19,0.25
21.74405,39.82211,0.087,0.106,0.244,0.348,0.525,0.69,0.17,0.21,0.46,0.64,0.95,1.27,0.1,0.11,0.24,0.34,0.49,0.65,0.06,0.07,0.13,0.18,0.27,0.35,0.04,0.04,0.09,0.12,0.16,0.21
21.74405,39.77211,0.084,0.101,0.22,0.308,0.452,0.579,0.17,0.2,0.42,0.59,0.86,1.12,0.1,0.11,0.23,0.32,0.46,0.6,0.06,0.07,0.13,0.18,0.26,0.33,0.04,0.04,0.09,0.12,0.16,0.21
21.74405,39.72211,0.086,0.103,0.226,0.321,0.489,0.642,0.17,0.21,0.44,0.61,0.91,1.2,0.1,0.12,0.25,0.34,0.5,0.65,0.06,0.07,0.15,0.2,0.28,0.36,0.04,0.05,0.1,0.13,0.18,0.23
21.79405,41.62211,0.058,0.071,0.172,0.252,0.39,0.534,0.12,0.14,0.33,0.47,0.72,0.96,0.06,0.07,0.16,0.23,0.35,0.47,0.04,0.04,0.09,0.12,0.18,0.24,0.02,0.03,0.05,0.07,0.11,0.14
21.79405,41.57211,0.055,0.067,0.155,0.222,0.332,0.442,0.11,0.13,0.3,0.42,0.62,0.83,0.06,0.07,0.15,0.21,0.31,0.42,0.03,0.04,0.08,0.11,0.17,0.22,0.02,0.02,0.05,0.07,0.1,0.13
21.79405,41.52211,0.06,0.074,0.171,0.251,0.396,0.544,0.12,0.15,0.33,0.47,0.72,0.99,0.07,0.08,0.17,0.24,0.37,0.5,0.04,0.05,0.1,0.13,0.2,0.26,0.03,0.03,0.06,0.08,0.12,0.15
21.79405,41.47211,0.063,0.077,0.173,0.248,0.381,0.522,0.13,0.15,0.34,0.48,0.72,0.96,0.07,0.09,0.19,0.26,0.39,0.52,0.04,0.05,0.1,0.14,0.21,0.28,0.03,0.03,0.07,0.09,0.13,0.17
21.79405,41.42211,0.064,0.078,0.179,0.264,0.421,0.576,0.13,0.16,0.35,0.5,0.77,1.06,0.08,0.09,0.19,0.27,0.4,0.55,0.04,0.05,0.11,0.15,0.22,0.29,0.03,0.03,0.07,0.09,0.13,0.17
21.79405,41.37211,0.059,0.071,0.16,0.23,0.358,0.495,0.12,0.14,0.31,0.43,0.66,0.89,0.06,0.08,0.16,0.23,0.34,0.45,0.04,0.04,0.09,0.12,0.18,0.24,0.02,0.03,0.06,0.08,0.11,0.14
21.79405,41.32211,0.059,0.072,0.164,0.242,0.382,0.522,0.12,0.14,0.31,0.45,0.69,0.94,0.06,0.08,0.16,0.23,0.34,0.46,0.04,0.04,0.09,0.12,0.18,0.24,0.02,0.03,0.06,0.08,0.11,0.14
21.79405,41.27211,0.057,0.069,0.153,0.22,0.334,0.455,0.11,0.13,0.29,0.41,0.62,0.82,0.06,0.07,0.15,0.21,0.31,0.41,0.03,0.04,0.08,0.11,0.16,0.21,0.02,0.02,0.05,0.07,0.1,0.13
21.79405,41.22211,0.06,0.073,0.167,0.242,0.369,0.501,0.12,0.14,0.31,0.45,0.68,0.9,0.06,0.08,0.16,0.22,0.33,0.45,0.04,0.04,0.09,0.12,0.17,0.23,0.02,0.03,0.05,0.07,0.1,0.14
21.79405,41.17211,0.064,0.078,0.175,0.247,0.364,0.474,0.13,0.15,0.34,0.47,0.69,0.91,0.07,0.08,0.17,0.24,0.36,0.46,0.04,0.05,0.1,0.13,0.19,0.25,0.02,0.03,0.06,0.08,0.11,0.15
21.79405,41.12211,0.071,0.087,0.201,0.289,0.433,0.578,0.14,0.17,0.39,0.55,0.81,1.07,0.08,0.1,0.21,0.29,0.42,0.56,0.05,0.05,0.11,0.15,0.22,0.29,0.03,0.03,0.07,0.09,0.14,0.18
21.79405,41.07211,0.077,0.094,0.213,0.299,0.433,0.557,0.15,0.19,0.42,0.59,0.85,1.1,0.09,0.11,0.23,0.32,0.46,0.6,0.05,0.06,0.13,0.17,0.25,0.32,0.03,0.04,0.08,0.1,0.15,0.19
21.79405,41.02211,0.068,0.084,0.197,0.278,0.407,0.538,0.13,0.16,0.37,0.53,0.76,0.99,0.07,0.08,0.18,0.25,0.37,0.49,0.04,0.05,0.1,0.14,0.2,0.26,0.02,0.03,0.06,0.08,0.12,0.15
21.79405,40.97211,0.069,0.085,0.2,0.279,0.397,0.505,0.13,0.16,0.38,0.53,0.76,0.97,0.07,0.08,0.18,0.25,0.37,0.48,0.04,0.04,0.1,0.13,0.19,0.25,0.02,0.03,0.06,0.08,0.12,0.15
21.79405,40.92211,0.073,0.09,0.224,0.312,0.451,0.586,0.14,0.17,0.41,0.58,0.84,1.1,0.07,0.09,0.2,0.28,0.42,0.54,0.04,0.05,0.11,0.15,0.22,0.28,0.02,0.03,0.06,0.09,0.13,0.17
21.79405,40.87211,0.073,0.091,0.225,0.312,0.447,0.573,0.14,0.18,0.42,0.59,0.86,1.13,0.07,0.09,0.2,0.29,0.43,0.59,0.04,0.05,0.1,0.15,0.23,0.31,0.02,0.03,0.06,0.09,0.13,0.18
21.79405,40.82211,0.083,0.105,0.261,0.37,0.565,0.73,0.16,0.2,0.5,0.69,1.14,1.51,0.09,0.11,0.25,0.38,0.61,0.8,0.05,0.06,0.13,0.2,0.31,0.42,0.03,0.04,0.08,0.12,0.18,0.24
21.79405,40.77211,0.085,0.108,0.268,0.376,0.57,0.766,0.17,0.21,0.51,0.77,1.21,1.64,0.09,0.11,0.26,0.41,0.65,0.88,0.05,0.06,0.14,0.22,0.34,0.46,0.03,0.04,0.08,0.13,0.2,0.26
21.79405,40.72211,0.087,0.11,0.276,0.402,0.655,0.875,0.17,0.21,0.53,0.82,1.3,1.75,0.09,0.11,0.27,0.44,0.69,0.94,0.05,0.06,0.14,0.23,0.36,0.5,0.03,0.04,0.09,0.13,0.21,0.29
21.79405,40.67211,0.097,0.121,0.302,0.429,0.667,0.909,0.19,0.24,0.59,0.88,1.44,1.92,0.11,0.13,0.32,0.5,0.81,1.08,0.06,0.08,0.17,0.27,0.43,0.58,0.04,0.05,0.11,0.16,0.25,0.34
21.79405,40.62211,0.085,0.107,0.267,0.378,0.58,0.758,0.16,0.21,0.5,0.75,1.18,1.63,0.09,0.11,0.25,0.38,0.61,0.83,0.05,0.06,0.13,0.2,0.32,0.43,0.03,0.04,0.08,0.12,0.19,0.25
21.79405,40.57211,0.084,0.104,0.258,0.352,0.503,0.668,0.16,0.2,0.49,0.67,1.03,1.36,0.08,0.1,0.24,0.35,0.54,0.73,0.05,0.06,0.13,0.18,0.29,0.39,0.03,0.04,0.08,0.11,0.17,0.23
21.79405,40.52211,0.094,0.116,0.287,0.398,0.593,0.778,0.18,0.23,0.55,0.76,1.09,1.47,0.1,0.12,0.29,0.4,0.59,0.79,0.06,0.07,0.15,0.21,0.32,0.42,0.04,0.04,0.09,0.13,0.19,0.25
21.79405,40.47211,0.102,0.126,0.294,0.411,0.581,0.733,0.2,0.25,0.58,0.81,1.15,1.47,0.12,0.14,0.32,0.45,0.64,0.84,0.07,0.08,0.18,0.24,0.35,0.45,0.04,0.05,0.11,0.15,0.21,0.27
21.79405,40.42211,0.097,0.12,0.289,0.41,0.604,0.794,0.19,0.23,0.54,0.77,1.1,1.42,0.1,0.13,0.29,0.4,0.58,0.75,0.06,0.07,0.15,0.21,0.31,0.4,0.04,0.04,0.09,0.13,0.18,0.24
21.79405,40.37211,0.099,0.123,0.281,0.387,0.545,0.695,0.19,0.24,0.54,0.75,1.06,1.34,0.11,0.13,0.29,0.4,0.57,0.73,0.06,0.07,0.16,0.21,0.31,0.4,0.04,0.04,0.09,0.13,0.19,0.24
21.79405,40.32211,0.106,0.132,0.315,0.458,0.641,0.79,0.2,0.25,0.58,0.83,1.23,1.59,0.11,0.14,0.31,0.44,0.66,0.88,0.06,0.08,0.17,0.24,0.35,0.47,0.04,0.05,0.1,0.14,0.21,0.28
21.79405,40.27211,0.119,0.148,0.334,0.472,0.675,0.835,0.23,0.28,0.65,0.92,1.35,1.72,0.13,0.16,0.36,0.52,0.78,1.01,0.07,0.09,0.2,0.29,0.43,0.56,0.05,0.06,0.12,0.18,0.26,0.35
21.79405,40.22211,0.11,0.135,0.341,0.454,0.615,0.756,0.21,0.26,0.62,0.87,1.22,1.53,0.11,0.13,0.31,0.46,0.68,0.9,0.06,0.07,0.17,0.24,0.37,0.48,0.04,0.05,0.1,0.15,0.22,0.29
21.79405,40.17211,0.113,0.137,0.331,0.455,0.618,0.759,0.21,0.26,0.61,0.87,1.27,1.68,0.11,0.14,0.32,0.47,0.72,0.97,0.06,0.08,0.17,0.25,0.39,0.52,0.04,0.05,0.11,0.15,0.24,0.32
21.79405,40.12211,0.101,0.126,0.307,0.409,0.568,0.731,0.19,0.23,0.56,0.8,1.18,1.59,0.09,0.11,0.27,0.4,0.63,0.82,0.05,0.06,0.14,0.21,0.32,0.43,0.03,0.04,0.09,0.12,0.19,0.26
21.79405,40.07211,0.108,0.132,0.316,0.435,0.594,0.732,0.2,0.25,0.58,0.83,1.2,1.6,0.1,0.13,0.29,0.44,0.66,0.9,0.06,0.07,0.16,0.23,0.36,0.48,0.04,0.04,0.1,0.14,0.22,0.29
21.79405,40.02211,0.101,0.125,0.309,0.415,0.562,0.693,0.19,0.23,0.56,0.79,1.1,1.37,0.1,0.12,0.27,0.4,0.58,0.75,0.05,0.06,0.14,0.21,0.31,0.41,0.03,0.04,0.09,0.12,0.19,0.24
21.79405,39.97211,0.088,0.11,0.246,0.348,0.499,0.628,0.16,0.2,0.45,0.64,0.93,1.2,0.08,0.1,0.22,0.31,0.46,0.6,0.05,0.05,0.11,0.16,0.24,0.31,0.03,0.03,0.07,0.1,0.14,0.18
21.79405,39.92211,0.103,0.127,0.302,0.428,0.591,0.728,0.2,0.24,0.55,0.8,1.18,1.49,0.11,0.13,0.29,0.42,0.63,0.83,0.06,0.08,0.16,0.23,0.33,0.44,0.04,0.05,0.1,0.14,0.2,0.26
21.79405,39.87211,0.09,0.11,0.242,0.338,0.49,0.625,0.17,0.21,0.46,0.64,0.93,1.2,0.1,0.11,0.24,0.34,0.49,0.63,0.06,0.07,0.13,0.18,0.26,0.34,0.04,0.04,0.08,0.11,0.16,0.2
21.79405,39.82211,0.091,0.111,0.254,0.361,0.546,0.724,0.18,0.22,0.48,0.68,1,1.33,0.1,0.13,0.26,0.37,0.54,0.71,0.06,0.07,0.15,0.2,0.29,0.38,0.04,0.05,0.09,0.13,0.18,0.23
21.79405,39.77211,0.082,0.099,0.214,0.298,0.436,0.561,0.16,0.2,0.42,0.57,0.83,1.08,0.09,0.11,0.23,0.31,0.45,0.58,0.06,0.07,0.13,0.18,0.25,0.32,0.04,0.04,0.08,0.11,0.16,0.2
21.79405,39.72211,0.081,0.097,0.21,0.298,0.452,0.593,0.16,0.19,0.41,0.57,0.83,1.1,0.09,0.11,0.23,0.31,0.45,0.58,0.06,0.07,0.13,0.18,0.25,0.32,0.04,0.04,0.08,0.11,0.16,0.2
21.84405,41.62211,0.065,0.08,0.197,0.292,0.454,0.614,0.13,0.16,0.37,0.54,0.83,1.12,0.07,0.09,0.19,0.28,0.43,0.58,0.04,0.05,0.11,0.15,0.23,0.3,0.03,0.03,0.07,0.09,0.13,0.18
21.84405,41.57211,0.062,0.075,0.178,0.254,0.379,0.504,0.12,0.15,0.34,0.49,0.73,0.96,0.07,0.08,0.17,0.25,0.37,0.5,0.04,0.05,0.09,0.13,0.19,0.26,0.02,0.03,0.06,0.08,0.12,0.15
21.84405,41.52211,0.066,0.081,0.194,0.286,0.447,0.612,0.13,0.16,0.37,0.53,0.82,1.12,0.08,0.09,0.2,0.28,0.43,0.58,0.04,0.05,0.11,0.15,0.23,0.31,0.03,0.03,0.07,0.09,0.14,0.18
21.84405,41.47211,0.063,0.077,0.177,0.254,0.385,0.515,0.13,0.15,0.34,0.48,0.73,0.98,0.07,0.08,0.18,0.25,0.38,0.51,0.04,0.05,0.1,0.14,0.2,0.27,0.03,0.03,0.06,0.08,0.12,0.16
21.84405,41.42211,0.06,0.073,0.173,0.256,0.405,0.552,0.12,0.14,0.33,0.47,0.73,1,0.07,0.08,0.17,0.24,0.36,0.5,0.04,0.04,0.09,0.13,0.19,0.26,0.02,0.03,0.06,0.08,0.11,0.15
21.84405,41.37211,0.056,0.068,0.156,0.225,0.343,0.457,0.11,0.13,0.29,0.42,0.63,0.85,0.06,0.07,0.15,0.21,0.31,0.42,0.03,0.04,0.08,0.11,0.16,0.22,0.02,0.02,0.05,0.07,0.1,0.13
