lon,lat,PGA-0.0137,PGA-0.0098,PGA-0.0021,PGA-0.001,PGA-0.0003,PGA-0.0001,SA(0.3)-0.0137,SA(0.3)-0.0098,SA(0.3)-0.0021,SA(0.3)-0.001,SA(0.3)-0.0003,SA(0.3)-0.0001,SA(0.6)-0.0137,SA(0.6)-0.0098,SA(0.6)-0.0021,SA(0.6)-0.001,SA(0.6)-0.0003,SA(0.6)-0.0001,SA(1.0)-0.0137,SA(1.0)-0.0098,SA(1.0)-0.0021,SA(1.0)-0.001,SA(1.0)-0.0003,SA(1.0)-0.0001,SA(1.5)-0.0137,SA(1.5)-0.0098,SA(1.5)-0.0021,SA(1.5)-0.001,SA(1.5)-0.0003,SA(1.5)-0.0001
22.94978,40.58523,0.146,0.18,0.387,0.516,0.706,0.864,0.27,0.34,0.77,1.05,1.52,1.98,0.15,0.18,0.41,0.6,0.9,1.16,0.08,0.1,0.22,0.33,0.49,0.63,0.05,0.06,0.14,0.2,0.3,0.39
22.94978,40.57523,0.148,0.181,0.392,0.525,0.721,0.884,0.28,0.34,0.77,1.06,1.49,1.93,0.15,0.18,0.42,0.6,0.9,1.18,0.09,0.1,0.22,0.33,0.5,0.65,0.05,0.07,0.15,0.2,0.3,0.4
22.95978,40.62523,0.148,0.183,0.378,0.511,0.759,0.986,0.28,0.34,0.78,1.13,1.61,2.03,0.15,0.18,0.43,0.62,0.9,1.17,0.08,0.1,0.24,0.33,0.49,0.65,0.05,0.06,0.14,0.2,0.3,0.39
22.95978,40.61523,0.157,0.194,0.402,0.546,0.798,1.04,0.3,0.37,0.84,1.19,1.72,2.18,0.16,0.2,0.47,0.68,1,1.3,0.09,0.11,0.26,0.37,0.55,0.72,0.06,0.07,0.16,0.23,0.33,0.44
22.95978,40.60523,0.164,0.203,0.42,0.564,0.802,1.03,0.31,0.38,0.87,1.22,1.8,2.3,0.17,0.21,0.51,0.73,1.07,1.39,0.1,0.12,0.28,0.4,0.59,0.77,0.06,0.08,0.17,0.25,0.36,0.47
22.95978,40.59523,0.161,0.198,0.416,0.553,0.769,0.985,0.3,0.37,0.85,1.17,1.74,2.25,0.17,0.21,0.49,0.71,1.04,1.35,0.1,0.11,0.26,0.39,0.57,0.74,0.06,0.07,0.16,0.24,0.35,0.46
22.95978,40.58523,0.15,0.185,0.396,0.527,0.724,0.888,0.28,0.35,0.79,1.09,1.58,2.06,0.15,0.19,0.43,0.63,0.94,1.22,0.09,0.1,0.23,0.35,0.52,0.66,0.05,0.07,0.15,0.21,0.31,0.41
22.95978,40.57523,0.145,0.179,0.386,0.517,0.71,0.87,0.27,0.34,0.76,1.04,1.47,1.9,0.15,0.18,0.41,0.59,0.88,1.14,0.08,0.1,0.22,0.32,0.49,0.63,0.05,0.06,0.14,0.2,0.29,0.39
22.93978,40.66523,0.14,0.172,0.37,0.496,0.674,0.844,0.26,0.32,0.72,1.01,1.5,1.93,0.14,0.17,0.41,0.59,0.84,1.09,0.07,0.09,0.22,0.32,0.46,0.6,0.05,0.06,0.13,0.19,0.28,0.37
22.94978,40.66523,0.14,0.173,0.37,0.495,0.677,0.865,0.26,0.32,0.73,1.03,1.53,1.95,0.14,0.17,0.41,0.59,0.85,1.1,0.07,0.09,0.22,0.31,0.46,0.6,0.05,0.06,0.13,0.19,0.28,0.36
